SAMPLE_NAME,DEC_sample_type
14LCB305 ,DUP
15DRB098 DUP,DUP
15DRB198-DUP,DUP
15GRB399-DUP,DUP
15LHB299,DUP
15ONT098-DUP,DUP
15ONT299-DUP,DUP
16ENR198,DUP
16ENR398,DUP
16MRB098,DUP
16MRB198,DUP
16MRB298,DUP
16MRB398,DUP
16ONT198,DUP
16ONT298,DUP
16ONT298B,DUP
16ONT398,DUP
16SOO198,DUP
16UHB098,DUP
17BLK299,DUP
17SOO293,DUP
17SOO295,DUP
17SOO299,DUP
17UHB399,DUP
18BLK299,DUP
18BLK399,DUP
18BLK996,DUP
18CMG999,DUP
18LHB399,DUP
18LHB997,DUP
18LHB999,DUP
18LIS096,DUP
18SRB097,DUP
16ENR199,EB
16MRB099,EB
16MRB199,EB
16MRB299,EB
16MRB399,EB
16ONT099,EB
16ONT199,EB
16ONT299,EB
16ONT299B,EB
16ONT397,EB
16ONT399,EB
17ALG298,EB
17SOO292,EB
17SOO294,EB
17SOO298,EB
17UHB398,EB
18BLK298,EB
18BLK398,EB
18BLK997,EB
18LCB097,EB
18LHB299,EB
18LHB398,EB
18LHB398,EB
18LHB996,EB
18LHB996,EB
18LHB998,EB
18LIS095,EB
14DRB099,NA
14GRB099,NA
14LCB099,NA
14LCB199,NA
14LCB398,NA
14LCB399,NA
14LIS099,NA
14LIS199,NA
14LIS398,NA
14LIS399,NA
14SRB398,NA
14TMDL005,NA
14TMDL699,NA
17BLK291,NA
17BLK297,NA
17LHB098,NA
17LHB099,NA
17SOO296,NA
17SOO297,NA
18BLK998,NA
18BLK999,NA
18LHB298,NA
